CODIGO_POSTAL,CODIGO_MUNICIPIO,edad_media,p_poblacion_menor_de_18,p_poblacion_mayor_65,media_personas_por_hogar,poblacion_municipio,poblacion_cp,crecimiento_poblaconal_2015,renta_media_por_persona,renta_media_por_hogar,p_suelo_urbano,p_agropecuario,p_cultural,p_deportivo,p_industrial,p_oficina,p_otros,p_publico,p_residencial,p_retail,p_salud,p_solteros,p_casados,p_viudos,p_separados,p_divorciados,p_extranjeros,p_hogares_unipersonales,p_ocup_agropecuaria,p_ocup_pesca,p_ocup_mineria,p_ocup_manufactura,p_ocup_dirstr_gas_elec_agua,p_ocup_construccion,p_ocup_taller_automotriz,p_ocup_hosteleria,p_ocup_transporte,p_ocup_financiera,p_ocup_inmobiliarias,p_ocup_adm_publica,p_ocup_educacion,p_ocup_medicina,p_ocup_otros,p_casas_con_servicio_domestico,prop_masculinidad,prop_reemplazamiento,prop_dependientes,prop_analfabetas,prop_paro
28870,28005,41.2,18.2,16.4,2.78,190260,38897,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,0.482,0.4605,0.04033333333,0.01116666667,0.006166666667,0.02606646333,0.1004100112,0.0076,0,0.0033,0.031,0.0036,0.1553,0,0.1165,0.0674,0.0107,0.0231,0.0467,0.0412,0.0379,0.4556,0.0147193865,97.68333333,1.55,0.3666666667,1.366666667,18.25806826
28880,28083,35.7,23.6,7.1,3.06,13545,4142,0.0212,11328,35091,0.0933,0.076697736,0.001331558,0.002663116,0.027563249,0.039680426,0.124234354,0.006391478,0.694540613,0.025965379,0.000932091,0.453,0.5,0.03,0.012,0.004,0.023901497,0.087127159,0.016337645,0,0.002722941,0.260721579,0.002042206,0.186521443,0.126616746,0.05105514,0.074880871,0.017699115,0.043567052,0.076923077,0.038801906,0.044928523,0.041524847,0.015656909,102.7,2.7,0.5,0.9,20.4
28890,28075,35.4,24.8,7.6,2.9,8432,2672,0.0237,10639,31270,0.032,0.147202522,0.001103231,0.002521671,0.063041765,0.062253743,0.203309693,0.000630418,0.499921198,0.019542947,0.000472813,0.434,0.495,0.061,0.007,0.003,0.030688623,0.136522754,0.006557377,0,0.016393443,0.346448087,0.002185792,0.160655738,0.116939891,0.049180328,0.087431694,0.029508197,0.036065574,0.056830601,0.033879781,0.015300546,0.029508197,0.013114754,99.6,1.9,0.5,4.6,21.1
28891,28167,36.3,23.4,7.7,3.03,12025,4597,-0.0047,11188,34256,0.0937,0.045656309,0.002060875,0.003012048,0.043436906,0.010779962,0.147273304,0.000158529,0.704819277,0.042168675,0.000634115,0.473,0.484,0.029,0.008,0.007,0.024146182,0.088033012,0.008337966,0,0.010005559,0.298499166,0.003891051,0.113952196,0.142301278,0.042245692,0.0967204,0.023902168,0.055586437,0.073374097,0.042245692,0.034463591,0.045025014,0.00889383,101.2,2.5,0.4,1.6,19.4
28901,28065,41.3,18.5,18.7,2.64,176781,28912,0.0132,11811,31763,0.2424,0.017267866,0.001553017,0.000671575,0.013137681,0.009846965,0.271425333,0.00039455,0.647221779,0.037826448,0.000654785,0.461,0.475,0.048,0.011,0.005,0.021444383,0.114748603,0.005453797,0,0.000411607,0.283391644,0.004013171,0.116793579,0.160423956,0.045997119,0.065548467,0.025108047,0.06626878,0.090965219,0.049187076,0.03426631,0.035809837,0.016155588,97.9,1.4,0.4,1.8,23.8
28902,28065,41.3,18.5,18.7,2.64,176781,12563,0.0132,11811,31763,0.2424,0.017267866,0.001553017,0.000671575,0.013137681,0.009846965,0.271425333,0.00039455,0.647221779,0.037826448,0.000654785,0.442,0.478,0.063,0.012,0.005,0.02435724,0.134502924,0.004736973,0,0,0.272001995,0.001745201,0.100723012,0.170032411,0.05459985,0.078534031,0.030914984,0.068312142,0.065818998,0.051857392,0.041884817,0.04038893,0.017950636,94.3,1.3,0.4,2.2,24.8
28903,28065,41.3,18.5,18.7,2.64,176781,49810,0.0132,11811,31763,0.2424,0.017267866,0.001553017,0.000671575,0.013137681,0.009846965,0.271425333,0.00039455,0.647221779,0.037826448,0.000654785,0.466,0.48,0.042,0.009,0.004,0.020397511,0.091055061,0.003192251,0.000110078,0.000495349,0.260388574,0.004953492,0.129396224,0.169849744,0.050030271,0.091419451,0.022841103,0.062414002,0.069679124,0.031977544,0.037811657,0.045351973,0.020034124,99.4,1.4,0.3,1.8,24.7
28904,28065,41.3,18.5,18.7,2.64,176781,20357,0.0132,11811,31763,0.2424,0.017267866,0.001553017,0.000671575,0.013137681,0.009846965,0.271425333,0.00039455,0.647221779,0.037826448,0.000654785,0.445,0.492,0.048,0.011,0.004,0.025151054,0.113912084,0.004240386,0,0.001023541,0.276794853,0.003363065,0.149583272,0.163474192,0.051908174,0.07764293,0.02134815,0.065360433,0.062728469,0.029828922,0.030852464,0.038309694,0.023395233,98.6,1.3,0.3,2.9,26.5
28905,28065,41.3,18.5,18.7,2.64,176781,26742,0.0132,11811,31763,0.2424,0.017267866,0.001553017,0.000671575,0.013137681,0.009846965,0.271425333,0.00039455,0.647221779,0.037826448,0.000654785,0.492,0.472,0.025,0.007,0.004,0.014247252,0.036514049,0.002666393,0,0.000615322,0.311660343,0.004922572,0.081632653,0.151574198,0.036816737,0.08327351,0.036201415,0.054148292,0.079479028,0.07065942,0.048302738,0.030868629,0.006973644,101.2,1.2,0.3,0.7,20.1
28906,28065,41.3,18.5,18.7,2.64,176781,58830,0.0132,11811,31763,0.2424,0.017267866,0.001553017,0.000671575,0.013137681,0.009846965,0.271425333,0.00039455,0.647221779,0.037826448,0.000654785,0.4818293181,0.06512862393,0.01347488771,0.01163740302,0.01674152715,0.05861789145,0.2125725707,0.0083,0,0.0013,0.0338,0.0048,0.1564,0,0.0946,0.1178,0.0088,0.0288,0.0533,0.0322,0.037,0.4227,0.01504659417,97.38298943,0.806359209,0.50912892,0.1720578114,18.33013174
