CODIGO_POSTAL,edad_media,p_poblacion_menor_de_18,p_poblacion_mayor_65,media_personas_por_hogar,poblacion,crecimiento_poblaconal_2015,renta_media_por_persona,renta_media_por_hogar,p_suelo_urbano,p_agropecuario,p_cultural,p_deportivo,p_industrial,p_oficina,p_otros,p_publico,p_residencial,p_retail,p_salud,p_solteros,p_casados,p_viudos,p_separados,p_divorciados,p_extranjeros,p_hogares_unipersonales,p_ocup_agropecuaria,p_ocup_pesca,p_ocup_mineria,p_ocup_manufactura,p_ocup_dirstr_gas_elec_agua,p_ocup_construccion,p_ocup_taller_automotriz,p_ocup_hosteleria,p_ocup_transporte,p_ocup_financiera,p_ocup_inmobiliarias,p_ocup_adm_publica,p_ocup_educacion,p_ocup_medicina,p_ocup_otros,p_casas_con_servicio_domestico,prop_masculinidad,prop_reemplazamiento,prop_dependientes,prop_analfabetas,prop_paro
28690,37.3,23.1,10.6,3.06,10220,0.0121,11469,36029,0.0417,0.130358875,0.001163919,0.001939864,0.018622696,0.007953443,0.038797284,0.000969932,0.746459748,0.05257032,0.001163919,0.461,0.445,0.077,0.011,0.007,0.049515845,0.127627628,0.023668639,0,0.000591716,0.180473373,0.00887574,0.110059172,0.173372781,0.037869822,0.060946746,0.044970414,0.08816568,0.071005917,0.080473373,0.047928994,0.060946746,0.010650888,97.1,1.7,0.5,0.8,18
28730,40.8,20.6,16.4,2.72,1745,-0.0017,10557,29358,0.0294,0.11318328,0.004501608,0.005144695,0.055948553,0.006430868,0.081672026,0.002572347,0.677170418,0.050160772,0.003215434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28720,41.2,20.1,14.7,2.32,2385,0.0149,11404,26857,0.0242,0.13794182,0.00093838,0.004066312,0.084141383,0.000625586,0.074444792,0.002502346,0.682514858,0.011886143,0.00093838,0.434,0.454,0.087,0.016,0.01,0.023791822,0.227557411,0.118451025,0,0.045558087,0.132118451,0.004555809,0.184510251,0.104783599,0.050113895,0.061503417,0.029612756,0.056947608,0.063781321,0.050113895,0.041002278,0.047835991,0.009111617,103.8,1.4,0.6,0.6,21.9
28721,42.3,20.5,16.8,2.44,692,-0.0086,14561,35456,0.0751,0.204690832,0.003198294,0.015991471,0.087420043,0,0.015991471,0.003198294,0.657782516,0.010660981,0.001066098,0.429,0.487,0.066,0.012,0.005,0.034904014,0.216748768,0.066350711,0,0.018957346,0.151658768,0.042654028,0.085308057,0.151658768,0.071090047,0.075829384,0.037914692,0.066350711,0.090047393,0.047393365,0.042654028,0.047393365,0.004739336,102.5,1.4,0.4,1.7,18.8
28751,40.8,18.7,15,2.73,2510,0.004,10790,30431,0.0832,0.156976744,0.00166113,0.010797342,0.047342193,0.000415282,0.084302326,0.000830565,0.665282392,0.029069767,0.003322259,0.48,0.449,0.05,0.013,0.008,0.046372476,0.161137441,0.016064257,0,0.014056225,0.156626506,0.006024096,0.130522088,0.164658635,0.138554217,0.06626506,0.020080321,0.062248996,0.072289157,0.060240964,0.046184739,0.030120482,0.016064257,97.8,1.4,0.4,0.3,20.7
28640,42.4,17.6,19.5,2.61,2962,0.0605,7718,20619,0.0579,0.100672878,0.001035197,0.010610766,0.077122153,0.001552795,0.032867495,0.000776398,0.758540373,0.015786749,0.001035197,0.426,0.478,0.091,0.005,0,0.008226691,0.210670315,0.064412238,0,0.122383253,0.149758454,0.003220612,0.264090177,0.114331723,0.057971014,0.037037037,0.024154589,0.01610306,0.046698873,0.041867955,0.025764895,0.025764895,0.006441224,104.1,1.4,0.7,6.6,18.2
28816,36.6,24.8,10,2.89,7054,0.0061,11006,32351,0.0747,0.048420265,0.001121705,0.002430361,0.091232006,0.141895681,0.022247149,0.128248271,0.550196298,0.01346046,0.000747803,0.47,0.47,0.044,0.013,0.004,0.018546556,0.113325031,0.056955093,0,0.004381161,0.277108434,0.002190581,0.197152245,0.108433735,0.037239869,0.074479737,0.018619934,0.0449069,0.060240964,0.0449069,0.037239869,0.019715225,0.016429354,100.6,1.5,0.4,1,20.5
28510,37.5,21.8,10.5,2.75,5900,0.0273,10265,28475,0.0311,0.095876289,0.001030928,0.002061856,0.065773196,0.00556701,0.195670103,0.003092784,0.608865979,0.021237113,0.000824742,0.411,0.52,0.056,0.009,0.004,0.013343799,0.141695703,0.033256881,0,0.001146789,0.379587156,0.004587156,0.175458716,0.114678899,0.040137615,0.060779817,0.019495413,0.025229358,0.055045872,0.030963303,0.014908257,0.037844037,0.006880734,101.1,1.5,0.6,2.3,12.8
28978,49.8,13.9,27.3,1.99,454,-0.0109,9254,19364,0.0079,0.214426877,0.001976285,0.002964427,0.196640316,0,0.027667984,0.001976285,0.549407115,0.004940711,0,0.516,0.409,0.064,0.009,0.002,0.036137775,0.16194332,0.049844237,0,0,0.280373832,0.001557632,0.147975078,0.147975078,0.04517134,0.054517134,0.024922118,0.043613707,0.062305296,0.046728972,0.048286604,0.024922118,0.021806854,102.4,1.5,0.5,3.7,14.7
28743,49.8,13.9,27.3,1.99,454,-0.0109,9254,19364,0.0079,0.214426877,0.001976285,0.002964427,0.196640316,0,0.027667984,0.001976285,0.549407115,0.004940711,0,0.327,0.553,0.105,0.008,0.006,0.012658228,0.280788177,0.173228346,0,0,0.149606299,0.007874016,0.196850394,0.141732283,0.070866142,0.047244094,0.031496063,0.015748031,0.05511811,0.015748031,0.05511811,0.031496063,0,110.7,1.3,0.7,2.7,22.6
28560,41.3,19.5,17.3,2.5,1973,0.001,8705,22610,0.0179,0.090634441,0.000431593,0.003884333,0.084160552,0.00172637,0.082865775,0.002157963,0.725938714,0.007337074,0.000863185,0.405,0.501,0.088,0.002,0.003,0.008466604,0.257211538,0.095709571,0,0,0.184818482,0,0.198019802,0.105610561,0.089108911,0.079207921,0.02640264,0.04620462,0.075907591,0.02310231,0.02640264,0.04290429,0.00660066,98.7,1.2,0.6,5.3,22.3
28977,35.8,25,7.9,2.91,3604,0.0121,10135,30019,0.1649,0.33720087,0.002175489,0.005076142,0.104423495,0.047860769,0.353879623,0.008701958,0.103698332,0.034807832,0.002175489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28650,46,15.1,24.8,2.43,1928,-0.0082,8113,19803,0.0128,0.146323255,0.001119821,0.003359462,0.112355356,0,0.024262785,0.001866368,0.700634565,0.008958567,0.001119821,0.404,0.5,0.09,0.005,0.001,0.005268704,0.248595506,0.11622276,0,0.014527845,0.133171913,0.007263923,0.246973366,0.12590799,0.043583535,0.05811138,0.024213075,0.033898305,0.08716707,0.016949153,0.041162228,0.024213075,0.026634383,98.7,1.3,0.8,6.6,35.1
28470,41.6,18.3,16.1,2.63,6772,0.0214,11744,31216,0.0473,0.060148148,0.001925926,0.007259259,0.030518519,0.003555556,0.130074074,0.001333333,0.736888889,0.024592593,0.003703704,0.448,0.463,0.07,0.012,0.006,0.036585366,0.194348725,0.030153846,0,0,0.070153846,0.004307692,0.166769231,0.117538462,0.113230769,0.059692308,0.032,0.064,0.095384615,0.049846154,0.130461538,0.044923077,0.021538462,96.1,1.6,0.5,0.6,17
28193,49.3,13.5,31,2.07,155,-0.019,12148,24945,0.012,0.400881057,0.004405286,0.00660793,0.13876652,0,0.017621145,0.008810573,0.40969163,0.011013216,0.002202643,0.485,0.443,0.052,0.021,0,0,0.363636364,0.066666667,0,0,0.066666667,0,0.333333333,0.033333333,0.166666667,0.1,0,0.033333333,0.066666667,0.033333333,0.033333333,0,0.066666667,120.5,2,0.6,4.3,36.2
28694,40.3,21.6,16.5,2.79,2171,0.0121,10014,28534,0.0644,0.173571054,0.004195071,0.005768222,0.087047719,0.000524384,0.048243314,0.006292606,0.661772417,0.010487677,0.002097535,0.416,0.511,0.058,0.006,0.01,0.020960699,0.254117647,0.042492918,0,0.002832861,0.175637394,0.028328612,0.1898017,0.121813031,0.04815864,0.045325779,0.025495751,0.033994334,0.062322946,0.076487252,0.045325779,0.084985836,0.014164306,103.7,1.6,0.6,0.6,16.2
28370,42.6,17,18.2,2.57,5179,-0.0099,8884,23788,0.0152,0.053230473,0.000771456,0.009064609,0.059209257,0.006750241,0.097782064,0.003857281,0.74734812,0.020829315,0.001157184,0.429,0.493,0.071,0.005,0.001,0.015848272,0.157689305,0.118218623,0,0.000809717,0.19757085,0.003238866,0.178947368,0.150607287,0.079352227,0.052631579,0.024291498,0.041295547,0.04291498,0.030769231,0.034817814,0.034008097,0.010526316,98.7,1.4,0.5,3.9,21.6
