iter	Passed	Remaining
542	156294	131540
543	156582	131252
544	156854	130951
545	157134	130657
546	157424	130371
547	157696	130070
548	157973	129774
549	158245	129473
550	158511	129168
551	158775	128861
552	159039	128554
553	159317	128259
554	159581	127952
555	159840	127642
556	160095	127328
557	160360	127023
558	160618	126713
559	160913	126432
560	161205	126148
561	161504	125870
562	161801	125590
563	162099	125310
564	162398	125032
565	162696	124753
566	163026	124498
567	163329	124222
568	163629	123943
569	163918	123657
570	164217	123378
571	164512	123097
572	164835	122835
573	165162	122577
574	165446	122286
575	165747	122008
576	166025	121713
577	166296	121413
578	166614	121148
579	166918	120871
580	167231	120602
581	167560	120343
582	167850	120057
583	168174	119795
584	168441	119492
585	168715	119194
586	169024	118922
587	169341	118654
588	169637	118371
589	169950	118101
590	170269	117834
591	170546	117538
592	170837	117252
593	171137	116973
594	171440	116694
595	171740	116414
596	172054	116143
597	172371	115875
598	172670	115594
599	172969	115313
600	173251	115020
601	173519	114718
602	173788	114417
603	174103	114147
604	174448	113895
605	174765	113626
606	175098	113366
607	175409	113093
608	175731	112825
609	176050	112557
610	176369	112287
611	176678	112011
612	176986	111735
613	177299	111462
614	177610	111186
615	177980	110949
616	178299	110678
617	178606	110400
618	178899	110114
619	179220	109844
620	179517	109560
621	179833	109287
622	180182	109034
623	180451	108733
624	180718	108431
625	181011	108144
626	181303	107856
627	181570	107554
628	181874	107274
629	182151	106978
630	182440	106688
631	182746	106409
632	183020	106111
633	183297	105815
634	183599	105533
635	183885	105242
636	184145	104936
637	184415	104636
638	184722	104357
639	185009	104067
640	185304	103782
641	185555	103471
642	185862	103192
643	186137	102896
644	186424	102605
645	186715	102317
646	186995	102023
647	187263	101723
648	187571	101444
649	187862	101156
650	188132	100857
651	188398	100556
652	188674	100260
653	188973	99976
654	189255	99684
655	189547	99396
656	189823	99101
657	190100	98805
658	190365	98504
659	190645	98211
660	190916	97913
661	191196	97619
662	191473	97325
663	191747	97028
664	192012	96728
665	192314	96445
666	192589	96150
667	192875	95860
668	193159	95569
669	193411	95262
670	193688	94967
671	193973	94677
672	194269	94392
673	194577	94112
674	194847	93815
675	195128	93523
676	195422	93236
677	195720	92952
